STATE,COUNTY,TRACTFIPS_STR,POPULATION,BUILDVALUE,AREA,RISK_SCORE,RISK_RATNG,EAL_SCORE,EAL_VALT,SOVI_SCORE,RESL_SCORE,RPL_THEME1,RPL_THEME2,RPL_THEME3,RPL_THEME4,RPL_THEMES,EAL_PER_CAPITA,ALT_EAL_PC_PCTL,ALT_SVI_PCTL,ALT_LACK_RESILIENCE,ALT_RISK_SCORE,ALT_RISK_RATNG,RISK_SCORE_DIFF,ABS_RISK_SCORE_DIFF
Iowa,Black Hawk,19013002601,5999,1848987838.0,6.940899030000001,60.05493917448539,Relatively Moderate,60.795734786387015,1656790.1259362705,50.30563289,91.48560597085653,0.4826,0.0741,0.3147,0.9843,0.5915,276.177717275591,16.987209853150166,59.150000000000006,8.514394029143475,32.5814035382891,Relatively Low,-27.47353563619629,27.47353563619629
Iowa,Black Hawk,19013002604,3981,999547272.0,57.75488355,69.69069958260498,Relatively Moderate,74.05406674965357,2165567.595715879,40.17947047,91.48560597085653,0.5253,0.6857,0.3908,0.7262,0.6409,543.9757839025067,46.035054476551394,64.09,8.514394029143475,47.62893361881965,Relatively Moderate,-22.061765963785327,22.061765963785327
Iowa,Black Hawk,19013002605,6557,997052175.0,6.587873370000001,48.15977548666358,Relatively Low,48.6565516593466,1335993.4720575751,48.77213765,91.48560597085653,0.3199,0.2144,0.5588,0.5499,0.3681,203.75072015518913,8.47939365229749,36.809999999999995,8.514394029143475,19.81688624790539,Very Low,-28.342889238758186,28.342889238758186
Iowa,Black Hawk,19013002606,5166,1332719109.0,39.42012906,66.27067651290834,Relatively Moderate,75.24132747727647,2218936.967775978,27.4785287,91.48560597085653,0.0157,0.2312,0.2486,0.0224,0.0146,429.5270940332904,34.20180009474183,1.46,8.514394029143475,17.251969147005344,Very Low,-49.018707365903,49.018707365903
Iowa,Black Hawk,19013002700,3819,1386624050.0,83.69249577,49.42266300405503,Relatively Low,77.57122390022782,2345961.798017146,9.209856068,91.48560597085653,0.4108,0.2368,0.1053,0.0629,0.1246,614.2869332330836,52.430127901468495,12.46,8.514394029143475,29.854716660032345,Relatively Low,-19.567946344022687,19.567946344022687
Iowa,Black Hawk,19013002800,2901,964500032.0,135.29728368000002,59.173771895401515,Relatively Moderate,84.38358738285929,2828934.7644686466,9.209856068,91.48560597085653,0.1773,0.2054,0.0045,0.2357,0.0999,975.1584848220085,76.13453339649455,9.99,8.514394029143475,39.53369913279407,Relatively Low,-19.640072762607446,19.640072762607446
Iowa,Black Hawk,19013002901,1265,357992176.0,3.28768713,9.043558916913415,Very Low,11.32184043027926,561312.7084792557,32.36628561,91.48560597085653,0.2548,0.0898,0.215,0.0056,0.0202,443.72546124842347,35.83135954523922,2.02,8.514394029143475,18.209270899729173,Very Low,9.165711982815758,9.165711982815758
Iowa,Black Hawk,19013002902,3851,887089438.0,53.45987088,69.22573817083467,Relatively Moderate,76.14439720976114,2266679.0859241765,32.30646212,91.48560597085653,0.3715,0.6285,0.1982,0.1594,0.275,588.5949327250523,50.1468498342018,27.500000000000004,8.514394029143475,34.84324152976233,Relatively Low,-34.38249664107234,34.38249664107234
Iowa,Black Hawk,19013003001,5466,1473045563.0,19.46662809,59.36046995588218,Relatively Moderate,60.48805693214646,1646785.6829422887,49.41361133,91.48560597085653,0.4747,0.5219,0.4199,0.9753,0.7351,301.2780246875757,19.952629085741354,73.50999999999999,8.514394029143475,39.659842192955125,Relatively Low,-19.700627762927056,19.700627762927056
Iowa,Black Hawk,19013003002,3991,1512126008.0,119.49863796,73.48887541174653,Relatively Moderate,84.19686685299574,2811820.3910880233,18.79109163,91.48560597085653,0.0954,0.1863,0.3628,0.1908,0.0898,704.5403134773298,60.17053529133112,8.98,8.514394029143475,31.945899985470525,Relatively Low,-41.54297542627601,41.54297542627601
